sentences
হাওড়া ব্রিজকোলকাতার হুগলী নদীর উপর অবস্থিত তিনটি ব্রিজের মধ্যে একটি।
বাংলা সাহিত্য কি বন্ধ হয়ে গেছে।
টেংরার লোভে আরো বেশি বেশি করে বাসায় আসতে থাকে সে।
"যখন জ্ঞান ফিরলো, দেখলাম সৌরভ আমার মাথার কাছে বসে আছে।"
যেমন অন্ধকার দৃশ্যত হরপ্পার অক্ষর!
ভয়ে এবং অনিশ্চয়তা দুইটাই কাজ করছে মনে।
আমার পড়াশোনার ধরণ দেখে একদিন আমাকে খুব করে বকলো।
এটি আবার ব্যক্তিতে ব্যক্তিতে আলাদা হয়।
কোন কোন গোত্রের নেতারা জিনিসটাকে আরেক স্তর উপরে নিয়ে গেল।
অার এক মনে কাজ করে যাচ্ছেন কৃষক।
